Site,Bat ID,Sex,Date,Season,Roost ID,Comments,Roost Type,Details,Structure,DBH (cm),decay stage,roost height (ft),tree height (ft),Densometer
LI,333_2014,NA,8/20/2014,Summer,333_2014-R1,presumed under raised roof cap/shingles,Anthro,Roof,shingle,NA,NA,20,NA,NA
LI,304_2016,1,7/7/2016,Summer,MortonNWR-PR,plastic casing of telephone pole,Anthro,telephone pole,cavity,NA,NA,NA,NA,NA
LI,LI03_17,1,11/2/2017,Fall,Sished,rakeboard on shed,Anthro,Shed,rakeboard,NA,NA,NA,NA,NA
LI,V03_18,1,5/22/2018,Summer,WIFLTR4-18,bat house,Anthro,Bat House,cavity,NA,NA,15,15,62.82
LI,V05_18,1,5/24/2018,Summer,WIFLTR6-18,cavity,Anthro,telephone pole,cavity,29,5,15,23,0.16
LI,V02_19,1,6/22/2019,Summer,WIFL19-R3,"cavity, 7 and 9 bats from emergence counts",Anthro,telephone pole,cavity,29.7,NA,9,29,75.04
LI,W04_19,1,8/5/2019,Summer,AR1-MYSE1-R1,crevice/crack in utility pole,Anthro,telephone pole,crevice/crack,23,5,4.9,26,0
LI,LI06_19,2,11/14/2019,Fall,AL03,,Anthro,culvert,cavity,NA,NA,NA,NA,NA
LI,LI01_19,2,11/22/2019,Fall,MARIO02,"house on 27, in chimney or shingles, final location in this house likely crawlspace/chimney hiber but bounced around quite a bit first",Anthro,House,unk,NA,NA,NA,NA,NA
LI,19_2014,1,7/31/2014,Summer,19_2014-R1,"Scarlet Oak, cavity",Tree,Oak,cavity,15.2,3,15,20,NA
LI,944_2014,1,8/4/2014,Summer,944_2014-R1,"Scarlet Oak, bark",Tree,Oak,bark,13.3,3,10,15,NA
LI,944_2014,1,8/5/2014,Summer,944_2014-R2,"Scarlet Oak, presumed cavity",Tree,Oak,cavity,17.8,3,10,20,NA
LI,944_2014,1,8/6/2014,Summer,944_2014-R3,"Scarlet Oak, presumed bark",Tree,Oak,bark,24.1,3,NA,30,NA
LI,19_2014,1,8/6/2014,Summer,19_2014-R2,"White Oak, unknown roost location",Tree,Oak,unk,40.6,2,NA,60,NA
LI,747_2014,NA,8/14/2014,Summer,747_2014-R1,unknown roost location,Tree,Black Locust,unk,11.4,3,NA,30,NA
LI,291_2014,NA,8/14/2014,Summer,291_2014-R1,"Black Cherry, couldn’t get close enough, not entirely sure its correct tree",Tree,Other,unk,50.8,1,NA,40,NA
LI,291_2014,NA,8/18/2014,Summer,291_2014-R2,crevice on tree trunk,Tree,Black Locust,crevice/crack,7.6,3,5,30,NA
LI,747_2014,NA,8/20/2014,Summer,747_2014-R2,unknown roost location,Tree,Black Locust,unk,25.4,3,NA,80,NA
LI,747_2014,NA,8/21/2014,Summer,747_2014-R3,unknown roost location,Tree,Black Locust,unk,15.2,1,NA,40,NA
LI,291_2014,NA,8/22/2014,Summer,291_2014-R3,bark shingle,Tree,Black Locust,bark,8.3,3,6,20,NA
LI,747_2014,NA,8/22/2014,Summer,747_2014-R4,unknown roost location,Tree,Black Locust,unk,10.2,3,NA,20,NA
LI,680_2014,1,9/23/2014,Fall,680_2014-R1,presumed cavity,Tree,Sassafras,cavity,10.2,2,NA,45,NA
